Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length,Relative Time,cluster,dbscan_cluster,anomaly
192.168.29.59,192.168.29.1,TCP,62921,53,54,1750930527.817783,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,56,1750930527.860599,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930527.860599,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,202,1750930527.860599,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,149,1750930527.860599,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930527.861086,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,66,1750930527.868346,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,54,1750930527.868815,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,571,1750930527.879612,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930527.906785,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,54,1750930527.936222,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,1466,1750930527.945111,1,0,-1
142.250.194.194,192.168.29.59,TCP,443,62922,1466,1750930527.945111,1,0,-1
142.250.194.194,192.168.29.59,TCP,443,62922,1350,1750930527.945111,1,0,-1
192.168.29.59,142.250.194.194,TCP,62922,443,54,1750930527.945687,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,118,1750930527.994824,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,100,1750930528.015866,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,91,1750930528.016069,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,89,1750930528.016142,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,109,1750930528.016195,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,742,1750930528.017096,0,0,-1
142.250.194.194,192.168.29.59,TCP,443,62922,668,1750930528.047952,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,85,1750930528.048889,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,132,1750930528.064066,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,359,1750930528.065303,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,54,1750930528.070077,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,94,1750930528.070378,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,54,1750930528.076964,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,54,1750930528.10266,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,54,1750930528.117736,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,56,1750930528.122774,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930528.122774,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,202,1750930528.122774,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,149,1750930528.122774,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930528.123387,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,434,1750930528.143038,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,85,1750930528.143038,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,93,1750930528.143038,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,54,1750930528.144969,0,0,1
192.168.29.59,142.250.194.194,TCP,62922,443,93,1750930528.147891,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930528.169209,0,0,1
192.168.29.59,192.168.29.1,TCP,62923,53,66,1750930528.19365,0,0,1
192.168.29.59,192.168.29.1,TCP,62924,53,66,1750930528.195204,0,0,1
192.168.29.59,192.168.29.1,TCP,62925,53,66,1750930528.196778,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62923,66,1750930528.198325,0,0,1
192.168.29.59,192.168.29.1,TCP,62923,53,54,1750930528.198935,0,0,1
192.168.29.59,192.168.29.1,TCP,62923,53,102,1750930528.200096,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62924,66,1750930528.203325,0,0,1
192.168.29.59,192.168.29.1,TCP,62924,53,54,1750930528.203902,0,0,1
192.168.29.59,192.168.29.1,TCP,62924,53,102,1750930528.204877,0,0,1
142.250.194.194,192.168.29.59,TCP,443,62922,54,1750930528.206874,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62923,54,1750930528.206874,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62925,66,1750930528.207495,0,0,1
